date,JPM,META,NVDA,TSLA
2022-11-22,124.21903228759766,110.46990966796875,15.998350143432617,169.91000366210938
2022-11-23,125.54363250732422,111.262939453125,16.47816276550293,183.1999969482422
2022-11-25,125.78279876708984,110.44017028808594,16.229778289794922,182.86000061035156
2022-11-28,123.5843276977539,107.83305358886719,15.787872314453125,182.9199981689453
2022-11-29,125.6172103881836,108.50713348388672,15.600335121154785,180.8300018310547
2022-11-30,127.10740661621094,117.07191467285156,16.885478973388672,194.6999969482422
2022-12-01,125.32286834716797,119.39155578613281,17.097013473510742,194.6999969482422
2022-12-02,124.32939910888672,122.41500091552734,16.838586807250977,194.86000061035156
2022-12-05,120.84308624267578,121.3642349243164,16.57317352294922,182.4499969482422
2022-12-06,121.04548645019531,113.12657928466797,15.951556205749512,179.82000732421875
2022-12-07,120.96269226074219,112.938232421875,16.084259033203125,174.0399932861328
2022-12-08,122.23211669921875,114.32603454589844,17.130939483642578,173.44000244140625
2022-12-09,121.56981658935547,114.89107513427734,16.96330451965332,179.0500030517578
2022-12-12,123.4555435180664,113.71143341064453,17.496124267578125,167.82000732421875
2022-12-13,123.33595275878906,119.10408020019531,18.031932830810547,160.9499969482422
2022-12-14,122.71966552734375,120.53153991699219,17.634817123413086,156.8000030517578
2022-12-15,119.67487335205078,115.138916015625,16.914417266845703,157.6699981689453
2022-12-16,118.92977142333984,118.39034271240234,16.53426170349121,150.22999572753906
2022-12-19,119.63807678222656,113.48344421386719,16.21796417236328,149.8699951171875
2022-12-20,120.21757507324219,116.07071685791016,16.04933738708496,137.8000030517578
2022-12-21,121.56981658935547,118.71747589111328,16.46441650390625,137.57000732421875
2022-12-22,120.19000244140625,116.10045623779297,15.30499267578125,125.3499984741211
2022-12-23,120.76033020019531,117.012451171875,15.172287940979004,123.1500015258789
2022-12-27,121.1834487915039,115.862548828125,14.089693069458008,109.0999984741211
2022-12-28,121.84575653076172,114.61351776123047,14.004883766174316,112.70999908447266
2022-12-29,122.54485321044922,119.213134765625,14.570623397827148,121.81999969482422
2022-12-30,123.35433959960938,119.29243469238281,14.581599235534668,123.18000030517578
2023-01-03,124.2925796508789,123.65411376953125,14.2832612991333,108.0999984741211
2023-01-04,125.45165252685547,126.26123809814453,14.716300010681152,113.63999938964844
2023-01-05,125.42383575439453,125.83496856689453,14.23337459564209,110.33999633789062
2023-01-06,127.82390594482422,128.88815307617188,14.826056480407715,113.05999755859375
2023-01-09,127.2956771850586,128.3429412841797,15.593353271484375,119.7699966430664
2023-01-10,128.43551635742188,131.83230590820312,15.873729705810547,118.8499984741211
2023-01-11,129.3899688720703,131.73316955566406,15.96552562713623,123.22000122070312
2023-01-12,129.26026916503906,135.5199432373047,16.474393844604492,123.55999755859375
2023-01-13,132.52206420898438,135.78756713867188,16.861534118652344,122.4000015258789
2023-01-17,130.47413635253906,134.1816864013672,17.66275405883789,131.49000549316406
2023-01-18,126.55438995361328,131.86203002929688,17.338476181030273,128.77999877929688
2023-01-19,124.86784362792969,134.96481323242188,16.727825164794922,127.16999816894531
2023-01-20,125.17366790771484,138.15676879882812,17.79945182800293,133.4199981689453
